,sigla_uf,populacao_atendida_agua,indice_consumo_agua_per_capita
6170,CE,21046,107.5
6171,CE,9734,125.0
6172,CE,51510,122.8
6173,CE,14466,162.0
6174,ES,10244,148.5
6175,ES,29668,177.8
6176,ES,9922,190.4
6177,ES,11513,137.9
6178,MG,46484,154.1
6179,MG,1400,165.6
6180,MG,12567,136.7
6181,MG,21739,166.6
6182,MG,26079,160.8
6183,MG,10734,158.5
6184,MG,31251,251.3
6185,MG,19398,155.9
6186,MG,10900,151.6
6187,MG,7890,142.9
6188,MG,1446,108.4
6189,MG,6900,262.4
6190,MG,6300,460.3
6191,MG,1437,164.9
6192,MG,9294,159.9
6193,MG,1338,141.7
6194,MG,16167,193.9
6195,MG,1722,155.8
6196,MS,7804,173.5
6197,MS,125232,163.6
6198,MT,13356,151.4
6199,PA,1244965,141.3
6200,PB,2941,85.3
6201,PE,16151,137.5
6202,PR,6326,152.4
6203,PR,10277,123.2
6204,PR,35007,159.8
6205,RS,30709,129.7
6206,RS,1866,150.5
6207,RS,1255,151.9
6208,RS,27892,135.5
6209,RS,2119,129.4
6210,SC,4208,100.5
6211,SE,7268,83.6
6212,SP,15982,137.3
6213,SP,255672,164.8
6214,SP,15094,336.1
6215,SP,1819,155.1
6216,SP,225668,184.7
6217,SP,86141,200.1
6218,SP,674649,159.5
6219,SP,57578,171.9
6220,TO,296432,158.4
6221,TO,19297,131.6
6976,AP,3534,190.1
6977,BA,23619,92.9
6978,BA,15080,148.4
6979,BA,15006,134.7
6980,BA,70015,82.2
6981,BA,5623,112.5
6982,CE,68942,165.5
6983,ES,6971,138.8
6984,MA,1210,113.6
6985,MG,8288,145.2
6986,MG,2338,133.1
6987,MG,5617,159.9
6988,MG,16247,151.7
6989,MG,10940,183.0
6990,MG,4806,222.3
6991,MG,7960,93.7
6992,MG,23219,138.6
6993,MG,1874,158.5
6994,MG,779,131.9
6995,MG,6124,185.4
6996,MG,5632,123.5
6997,MG,3715,427.7
6998,MG,19267,162.9
6999,MG,1107,140.0
7000,MG,2638,164.0
7001,MG,4612,132.7
7002,MG,18863,150.3
7003,MS,8839,172.7
7004,MS,8316,153.4
7005,MT,15358,367.5
7006,PA,4653,127.5
7007,PB,1582,100.2
7008,PB,136177,75.7
7009,PE,23779,116.9
7010,PE,11239,95.5
7011,PE,30648,99.8
7012,PR,285386,175.9
7013,PR,9096,120.6
7014,PR,44364,121.4
7015,PR,5585,133.6
7016,PR,5616,192.9
7017,PR,75034,130.2
7018,RJ,246391,143.6
7019,RJ,12646,283.8
7020,RN,3114,112.4
7021,RN,6836,103.1
7022,RS,2670,192.1
7023,RS,271303,128.9
7024,RS,18922,172.0
7025,SC,29510,129.8
7026,SC,29661,168.7
7027,SC,3450,213.8
7028,SP,5781,144.3
7029,SP,5839,206.1
7030,SP,7662,162.7
7031,SP,9035,171.6
7032,SP,40107,145.4
7033,SP,51704,206.4
7034,SP,2961,152.9
7035,SP,5420,140.1
